lsat,ugpa,zfygpa,race
38.0,3.3,-0.57,black
34.0,4.0,1.01,white
34.0,3.9,-1.28,white
45.0,3.3,1.57,white
39.0,2.5,-0.62,white
38.0,3.0,-0.09,white
34.0,2.5,0.12,white
37.0,3.5,0.2,white
37.0,3.6,1.49,white
43.0,2.8,-0.77,white
36.0,2.7,-1.27,white
31.0,3.2,-0.96,white
40.0,4.0,-0.17,white
34.0,3.2,0.37,white
37.0,2.6,0.36,white
47.0,3.3,2.1,white
38.0,2.7,-0.56,white
42.0,3.5,0.09,white
32.0,3.1,0.02,white
35.0,2.4,-1.48,white
42.0,3.4,-0.41,white
38.0,3.1,0.64,white
37.0,3.3,-1.83,white
42.0,3.9,0.54,white
42.0,3.1,0.17,white
37.0,3.2,1.04,white
36.0,3.4,1.56,white
35.0,2.9,-0.02,black
37.0,2.9,-1.95,white
45.0,3.8,-0.86,white
38.0,3.0,0.39,white
18.0,2.2,-2.23,black
43.0,3.5,-0.53,white
38.0,3.5,-0.76,white
43.0,2.3,0.11,white
37.0,3.5,1.56,white
38.0,2.9,0.21,white
40.0,3.4,-0.18,white
40.0,3.7,-0.8,white
46.0,3.3,1.05,white
35.0,3.0,1.22,white
36.0,3.3,-0.48,white
39.0,2.3,0.53,white
29.0,3.5,0.85,white
40.0,3.1,0.84,white
44.0,3.5,-0.26,white
39.0,3.1,-0.98,white
37.5,3.6,0.8,white
34.0,3.0,0.6,white
35.0,3.1,-0.68,white
39.0,3.3,-0.26,white
34.0,2.9,0.33,white
31.0,3.0,0.26,white
39.0,3.5,1.22,white
32.0,2.9,-0.69,black
32.5,3.4,1.81,white
43.0,3.5,0.63,white
41.0,3.3,0.24,white
42.0,3.5,-0.71,white
36.0,3.2,-0.34,white
43.0,2.2,1.62,white
36.0,3.6,-0.6,white
42.0,3.0,1.08,white
37.0,3.7,0.17,white
43.0,3.0,-1.27,white
43.0,3.5,-1.6,white
30.0,2.7,-1.69,black
34.0,3.7,-0.66,white
30.0,2.7,-1.05,white
48.0,3.3,1.15,white
48.0,3.5,0.55,white
36.0,3.0,-1.12,white
43.0,3.5,1.23,white
37.0,3.5,1.89,white
41.5,3.0,-0.62,white
37.0,2.9,1.01,white
41.0,3.5,0.51,white
39.0,3.7,0.45,white
39.0,3.1,1.44,white
30.0,3.6,0.45,white
38.0,3.6,0.86,white
29.0,2.8,-0.13,white
39.0,2.8,0.84,white
33.0,3.2,-0.44,white
31.5,3.4,-0.37,white
31.5,3.3,0.76,white
40.0,3.6,-0.25,white
48.0,3.4,0.33,white
44.0,2.6,-1.03,white
29.3,3.1,-0.95,white
36.5,3.6,-0.85,white
36.0,3.5,1.6,white
26.0,3.4,0.75,white
42.0,3.5,0.53,white
40.0,2.5,-0.25,white
32.0,2.6,-2.84,black
35.0,3.0,0.14,white
29.0,3.5,-0.3,white
34.0,3.8,0.11,white
38.0,3.9,1.63,white
36.0,2.9,0.28,white
37.0,3.5,0.75,white
39.0,3.6,-0.4,white
38.0,3.9,0.97,white
37.0,3.3,-1.64,white
38.0,3.7,2.24,white
26.0,3.2,-0.27,white
45.0,3.3,1.34,white
35.0,3.4,1.89,white
43.0,3.6,1.92,white
38.0,2.9,1.9,white
41.0,3.2,-0.33,white
34.0,3.3,1.13,white
45.0,3.3,1.0,white
34.0,3.5,0.66,white
27.0,3.7,-0.96,white
42.0,3.2,0.96,white
44.0,3.3,0.45,white
31.0,3.0,0.4,white
47.0,3.8,0.9,white
44.0,3.3,-1.55,white
38.0,3.9,-0.32,white
45.0,3.6,0.25,white
39.0,3.4,0.87,white
34.0,3.0,-0.59,white
33.0,3.3,-0.95,white
38.0,3.6,0.02,white
36.0,2.6,-0.57,white
32.0,3.2,-1.3,white
35.0,3.4,-0.09,white
25.0,3.7,0.03,white
47.0,2.9,1.59,white
41.0,3.1,0.67,white
35.0,3.1,-1.66,black
42.0,3.5,-0.42,white
36.5,3.3,-0.79,white
24.0,3.6,-1.54,black
39.0,3.3,-0.29,white
42.0,2.3,-0.57,white
42.0,2.8,0.17,white
26.5,1.8,-0.58,black
38.0,2.6,1.01,white
25.0,2.9,-0.71,black
45.0,4.0,1.71,white
34.0,3.4,1.05,white
29.5,3.0,-1.09,white
41.0,3.1,0.4,white
40.0,3.5,-0.42,white
42.0,3.0,0.45,white
40.0,3.0,1.11,white
30.0,3.5,-0.09,white
48.0,3.5,0.85,white
37.0,3.3,2.04,white
33.0,3.4,-0.6,white
36.0,3.1,1.1,white
21.0,2.6,-1.36,black
44.0,2.7,0.12,white
44.0,3.4,2.21,white
35.0,3.1,-0.98,white
43.0,3.6,1.91,white
37.0,3.3,0.78,white
39.0,3.6,-0.22,white
39.0,3.5,1.24,white
34.0,3.4,-0.19,white
31.0,3.4,-1.01,white
32.0,3.0,-2.08,black
37.0,2.9,-0.14,white
40.0,3.5,-0.63,white
36.0,3.6,0.96,white
39.0,3.6,-0.41,white
41.0,3.2,1.0,black
30.0,3.3,0.01,white
33.0,3.5,-1.15,white
35.0,3.4,0.58,white
37.0,2.9,-0.31,white
44.0,3.4,-0.38,white
37.0,3.7,1.06,white
37.0,3.0,-0.27,white
40.0,3.6,1.43,white
33.0,2.9,-1.39,white
40.0,3.2,0.44,white
44.0,3.3,0.1,white
35.0,3.5,0.6,white
28.0,3.7,0.38,white
38.0,3.2,-0.64,white
38.0,3.0,-0.95,white
31.0,2.7,-0.58,black
29.0,2.9,0.69,black
40.0,2.9,0.47,white
38.0,3.4,0.14,white
43.0,3.9,0.44,white
37.0,3.1,0.62,white
31.0,2.7,-2.02,white
44.0,3.4,-0.26,white
36.0,3.2,-1.09,white
36.0,2.1,0.22,white
32.3,2.5,-0.79,white
42.0,2.8,-0.94,white
42.0,3.1,-0.11,white
41.0,3.5,0.81,white
27.5,2.1,-0.98,black
40.0,4.0,0.3,white
48.0,3.2,1.07,white
43.0,3.7,1.42,white
44.0,2.7,-1.26,white
27.0,3.5,0.27,white
30.0,3.4,-1.01,white
35.0,2.9,0.25,white
42.0,3.9,0.16,white
33.0,3.3,1.83,white
37.0,3.0,0.72,white
46.0,2.7,0.81,white
40.0,3.1,0.22,white
36.0,3.4,-1.84,white
39.0,3.4,0.02,white
48.0,2.9,1.12,white
38.0,2.6,-0.24,white
31.0,3.7,0.63,white
41.0,3.4,-0.69,white
36.0,3.4,0.71,white
45.0,3.4,0.51,white
43.0,3.8,0.36,white
40.0,3.2,-2.25,white
34.0,3.7,1.29,white
40.0,3.8,-0.38,white
35.0,3.2,0.96,white
40.0,2.7,-0.64,white
34.0,2.7,0.73,white
30.0,3.3,-0.94,white
38.0,2.9,0.13,white
39.0,3.5,1.31,white
32.0,3.5,-0.24,white
39.0,3.3,-0.58,white
21.0,2.9,-0.05,black
34.0,3.0,0.25,white
32.5,3.1,-0.19,white
33.0,3.3,-0.69,white
38.0,3.5,0.4,white
