age,sex,hours-per-week,Income Binary,race,Education Years
25.0,1,40.0,0,0.0,2
38.0,1,50.0,0,1.0,4
28.0,1,40.0,1,1.0,7
44.0,1,40.0,1,0.0,5
18.0,0,30.0,0,1.0,5
34.0,1,30.0,0,1.0,1
29.0,1,40.0,0,0.0,4
63.0,1,32.0,1,1.0,8
24.0,0,40.0,0,1.0,5
55.0,1,10.0,0,1.0,0
65.0,1,40.0,1,1.0,4
36.0,1,40.0,0,1.0,8
26.0,0,39.0,0,1.0,4
58.0,1,35.0,0,1.0,4
48.0,1,48.0,1,1.0,4
43.0,1,50.0,1,1.0,8
20.0,1,25.0,0,1.0,5
43.0,0,30.0,0,1.0,4
37.0,0,20.0,0,1.0,4
40.0,1,45.0,1,0.0,8
34.0,1,47.0,1,1.0,8
34.0,0,35.0,0,0.0,5
72.0,0,6.0,0,1.0,0
25.0,1,43.0,0,1.0,8
25.0,1,40.0,0,1.0,8
45.0,1,90.0,1,1.0,4
22.0,1,20.0,0,1.0,4
23.0,1,54.0,0,0.0,4
54.0,1,35.0,0,1.0,4
32.0,1,60.0,0,1.0,5
46.0,1,38.0,1,0.0,5
56.0,0,50.0,0,1.0,2
24.0,1,50.0,0,1.0,8
23.0,1,40.0,0,1.0,5
26.0,0,40.0,0,1.0,4
65.0,1,40.0,0,1.0,4
36.0,1,40.0,1,1.0,8
22.0,1,50.0,0,1.0,0
17.0,1,40.0,0,1.0,1
20.0,1,40.0,0,1.0,4
65.0,1,50.0,1,1.0,8
44.0,1,45.0,1,1.0,6
36.0,1,40.0,0,1.0,4
29.0,1,40.0,0,1.0,2
20.0,1,32.0,0,1.0,5
28.0,0,36.0,1,1.0,6
39.0,1,40.0,0,1.0,0
54.0,1,50.0,0,1.0,5
52.0,0,18.0,0,0.0,2
56.0,0,50.0,0,1.0,4
18.0,1,20.0,0,1.0,5
39.0,1,40.0,0,0.0,4
21.0,0,24.0,0,1.0,5
22.0,1,60.0,1,1.0,4
38.0,1,54.0,0,1.0,0
21.0,0,40.0,0,1.0,5
63.0,1,40.0,0,1.0,4
34.0,1,50.0,1,1.0,8
42.0,1,50.0,1,1.0,4
33.0,1,40.0,0,1.0,4
30.0,0,50.0,0,1.0,8
39.0,1,40.0,0,1.0,5
26.0,0,40.0,0,1.0,8
33.0,0,40.0,0,1.0,4
47.0,0,40.0,0,1.0,4
41.0,0,40.0,0,1.0,8
41.0,1,60.0,1,1.0,7
19.0,1,20.0,0,1.0,5
46.0,1,40.0,0,1.0,4
43.0,1,48.0,0,1.0,4
55.0,1,45.0,1,1.0,5
46.0,1,40.0,0,1.0,6
30.0,1,40.0,0,1.0,4
21.0,0,40.0,0,1.0,5
46.0,1,40.0,0,0.0,5
17.0,1,40.0,0,1.0,1
41.0,1,50.0,0,1.0,4
69.0,1,30.0,0,1.0,4
50.0,1,40.0,0,1.0,4
20.0,0,40.0,0,1.0,5
45.0,1,50.0,0,1.0,5
23.0,1,40.0,0,1.0,8
24.0,1,40.0,0,1.0,5
44.0,1,50.0,1,1.0,4
31.0,1,50.0,0,1.0,5
43.0,0,44.0,0,1.0,4
20.0,0,10.0,0,1.0,2
55.0,1,56.0,1,1.0,4
24.0,1,40.0,0,1.0,5
41.0,0,10.0,1,1.0,8
59.0,0,25.0,0,1.0,8
49.0,1,20.0,0,0.0,0
33.0,0,10.0,1,1.0,8
59.0,1,40.0,0,1.0,8
34.0,1,40.0,0,0.0,8
20.0,1,40.0,0,1.0,4
25.0,0,40.0,0,1.0,8
