X1,X2,X3,X4,X5,X6,X7,X8,X9,Y,A
6,3,261,0,1,1,0,0,1,0,1
6,7,226,1,1,1,0,3,1,0,1
6,0,151,0,1,1,0,1,1,0,1
6,7,307,0,1,1,1,3,1,0,1
6,0,139,0,1,1,0,5,1,0,1
6,9,380,1,2,1,0,5,1,0,0
6,7,50,1,2,1,0,3,1,0,0
6,7,222,1,2,1,0,3,1,0,0
6,1,137,0,2,1,1,3,1,0,1
6,3,293,1,0,1,0,0,1,0,1
6,1,146,1,1,1,0,1,1,0,1
6,1,312,1,1,1,0,1,1,0,1
6,1,353,1,1,1,1,2,1,0,1
6,10,38,0,1,1,0,3,1,0,1
6,5,342,1,2,1,0,3,1,0,1
6,9,181,1,2,1,0,3,1,0,1
6,0,172,1,1,1,0,3,1,0,1
6,9,99,0,1,1,1,6,1,0,1
6,1,208,0,0,1,0,0,1,0,1
6,7,365,0,1,1,0,3,1,0,1
6,9,1666,1,1,1,0,2,1,0,1
6,0,577,1,1,1,0,6,1,0,1
6,9,137,1,1,1,0,0,1,0,1
6,2,314,1,1,1,0,3,1,0,1
6,0,160,0,2,1,0,5,1,0,1
6,0,212,0,1,1,1,6,1,0,1
6,0,616,1,1,1,1,6,1,0,1
6,1,178,0,1,1,1,2,1,0,1
6,0,355,1,1,1,0,6,1,0,1
6,1,225,1,1,1,0,2,1,0,1
6,0,160,0,1,1,0,3,1,0,1
6,3,266,0,1,1,1,0,1,0,1
6,0,253,0,1,1,0,3,1,0,1
6,0,179,0,2,1,0,5,1,0,1
6,9,174,1,2,1,0,6,1,0,0
6,1,812,1,1,1,0,2,1,0,1
6,0,357,0,1,1,0,3,1,0,1
6,0,232,0,1,1,0,6,1,0,1
6,1,91,1,2,1,0,2,1,0,1
6,0,158,1,1,1,0,2,1,0,1
6,4,200,0,1,1,0,1,1,0,1
6,4,172,1,0,1,0,6,1,0,1
6,9,349,0,1,1,0,6,1,0,1
6,9,20,0,2,1,1,6,1,0,1
6,0,246,0,0,1,0,3,1,0,1
6,4,529,0,1,1,0,1,1,0,1
6,0,192,1,1,1,1,6,1,0,1
6,9,1467,0,1,1,0,2,1,1,1
6,0,188,1,1,1,0,3,1,0,1
6,0,180,1,1,1,0,6,1,0,1
6,10,545,0,1,1,0,2,1,0,1
6,1,583,0,1,1,1,1,1,0,1
6,7,221,1,1,1,0,5,1,0,1
6,4,426,0,1,1,0,6,1,0,1
6,9,197,0,2,1,0,5,1,0,1
6,1,257,0,1,1,0,1,1,0,1
6,1,55,0,1,1,0,0,1,0,1
6,0,197,0,0,1,0,6,1,0,1
6,0,190,0,0,1,0,6,1,0,1
6,3,300,1,1,1,0,1,1,0,1
6,0,123,1,1,1,0,3,1,0,1
6,7,194,1,0,1,0,3,1,0,1
