X1,X2,X3,X4,X5,X6,X7,X8,X9,Y,A
110,21.9671201814059,80,2,0,0,1,1,1,0,1
140,34.927679158448385,90,1,0,0,3,1,1,1,1
130,23.50780532598714,70,1,0,0,3,0,1,1,1
150,28.71047932495361,100,2,0,0,1,1,1,1,1
100,23.011176857330703,60,1,0,0,1,0,1,0,1
120,29.384676110696898,80,1,0,0,2,0,2,0,1
130,37.72972534382733,80,1,0,0,3,1,1,0,1
130,29.983587930816814,90,2,0,0,3,1,3,1,1
110,28.44095497516423,70,1,0,0,1,1,1,0,1
110,25.282569898869717,60,1,0,0,1,0,1,0,1
120,28.01022373166206,80,1,0,0,1,1,1,0,1
120,20.04744562130375,80,2,0,0,1,1,1,0,1
120,22.038567493112943,80,2,0,0,1,0,1,0,0
110,31.244992789617044,70,1,0,0,1,1,1,0,1
130,28.997893837184456,90,2,1,1,1,1,1,0,0
120,37.85830178474852,80,2,0,0,1,0,1,1,1
130,25.95155709342561,70,1,0,0,1,0,1,0,1
110,20.82999519307803,70,1,0,0,1,1,3,0,1
100,28.67262607522348,70,1,0,0,1,0,1,0,1
120,21.338210638622158,70,2,1,0,1,1,1,0,1
120,31.23941435507546,80,2,0,0,1,1,1,0,1
130,27.993022029291247,80,1,0,0,1,1,1,0,1
145,36.05191475725044,85,1,0,0,2,1,2,1,1
110,18.49112426035503,60,2,0,0,1,1,1,0,1
150,23.529411764705884,90,1,0,0,3,1,1,1,1
130,27.76709812465291,100,1,0,0,2,1,1,0,0
130,24.243918474687703,90,1,0,0,1,1,1,0,1
120,30.853209920493647,80,1,0,0,1,1,1,0,1
120,23.951226593119465,80,2,0,0,1,1,1,0,0
130,25.909456951787405,70,2,0,0,1,0,3,0,1
120,43.7044745057232,80,1,0,0,3,1,1,1,1
140,24.859073561850078,90,1,0,0,3,1,1,1,1
110,23.73323840037973,70,1,0,0,1,1,1,0,0
130,28.515624999999993,85,1,0,0,1,0,1,1,1
140,27.39817568244846,90,2,0,0,3,0,1,1,1
120,20.700816741315066,80,1,0,0,1,1,1,0,1
120,31.020408163265305,80,2,0,0,1,1,1,0,1
130,26.026174895895295,90,1,0,0,1,1,1,0,1
130,27.43484224965706,80,2,1,0,1,1,1,1,1
140,25.711662075298435,90,1,0,0,1,1,1,1,1
110,25.153150229218223,70,1,0,0,1,0,1,0,1
110,21.461936624163616,80,1,0,0,1,1,1,1,1
140,23.59700420642249,90,2,0,0,1,1,1,1,1
120,24.919900320398717,60,2,0,0,1,1,1,1,1
170,21.0828132906055,80,1,0,0,3,1,1,1,1
140,24.38652644413961,90,1,0,0,1,1,1,1,1
150,40.77122389879591,90,1,0,0,2,1,1,1,1
120,24.44727891156463,80,2,0,0,1,0,1,0,1
120,22.857142857142858,80,2,0,0,2,1,1,0,1
120,23.87543252595156,70,1,0,0,1,1,1,0,0
100,29.296874999999993,60,1,0,0,1,0,1,0,1
150,29.410734918245165,100,1,0,0,1,1,1,1,1
150,30.846276672956886,100,2,0,0,1,1,1,1,1
135,28.282828282828277,90,1,0,0,3,1,3,1,0
130,34.193213296398895,90,1,0,0,1,1,1,1,1
125,26.81359044995408,90,2,0,0,1,0,1,0,1
90,25.990903183885642,60,1,0,0,1,1,2,0,1
120,33.05785123966941,80,1,0,0,1,0,1,1,1
140,28.393726338561386,90,2,1,0,1,1,1,1,0
180,23.795359904818557,90,1,1,0,1,1,1,1,1
110,22.942130453700404,70,1,0,0,1,1,1,0,1
180,27.548209366391177,90,2,0,0,3,1,1,1,1
130,32.88627069690297,90,2,0,1,1,1,1,0,1
120,29.411764705882355,80,1,0,0,1,1,1,0,1
120,24.859073561850078,80,2,0,0,1,1,1,1,1
130,36.52300949598247,90,1,0,0,1,1,1,1,1
130,23.87543252595156,80,2,0,0,1,1,1,0,1
150,33.1726001162751,100,2,1,0,3,1,1,1,1
160,32.89473684210526,100,1,0,0,1,1,2,1,1
110,21.50188648626719,70,1,0,0,1,0,1,1,1
120,23.725286160249738,80,1,0,0,1,1,1,1,1
150,29.64951156330951,90,2,0,0,1,1,1,1,1
110,23.83300460223537,70,1,0,0,1,1,1,0,1
140,31.238589800803275,90,1,0,0,1,1,1,1,1
140,27.777777777777775,90,2,0,0,2,0,2,0,0
130,30.043262297708697,90,1,0,0,1,0,1,1,1
120,29.708012675418736,80,2,0,0,1,1,1,1,1
140,26.562499999999996,90,1,0,0,1,1,1,1,1
140,27.39817568244846,90,1,0,0,1,1,1,1,1
140,27.513384889946455,85,2,0,0,1,0,1,1,1
120,19.382144693643447,70,1,0,0,1,1,1,0,1
120,26.638917793964616,70,1,0,0,1,1,1,0,1
120,30.043262297708697,80,1,0,0,1,1,1,1,1
160,47.61080332409972,90,1,0,0,1,1,1,1,1
130,29.352354500694357,90,1,0,0,1,0,1,1,1
100,22.600262984878366,60,1,0,0,1,1,1,0,1
150,30.818540433925047,90,1,0,0,2,1,2,1,1
140,34.11235302656409,90,2,0,0,2,1,3,1,1
130,40.349107495285295,90,1,0,0,1,0,1,1,1
120,29.40778799351001,80,2,0,0,1,0,1,0,1
140,32.03124999999999,100,1,0,0,1,1,1,0,1
140,38.295657346817364,90,1,0,0,3,0,3,1,1
150,25.393431120318084,90,2,0,0,1,1,1,1,1
160,28.344671201814062,100,2,0,0,1,1,1,0,1
133,25.712198685171657,89,2,0,0,2,1,3,0,0
110,21.230572023714146,70,1,0,0,1,1,1,0,1
110,23.87511478420569,70,2,0,0,1,1,1,0,1
150,36.36363636363635,110,1,0,0,1,0,1,1,1
120,34.602076124567475,80,2,0,0,1,0,1,1,1
120,25.458065904119906,80,1,0,1,2,1,1,1,1
110,20.86111966075032,70,2,0,0,1,1,1,0,0
190,28.685144680698485,90,1,0,1,2,0,1,0,1
100,27.281746031746035,70,1,0,0,1,1,1,0,1
125,28.367523664486843,80,2,1,0,1,1,3,0,1
120,24.913494809688583,80,1,0,0,1,0,1,1,1
140,27.636054421768712,90,2,1,0,2,1,1,1,1
120,22.86236854138088,80,2,0,0,2,1,1,1,0
110,17.84651992861392,70,2,1,1,1,1,2,1,0
130,17.8359096313912,80,2,0,0,2,1,2,1,0
100,20.690494543389182,70,1,0,0,2,1,1,1,0
110,26.573129251700685,80,2,0,0,1,0,1,1,1
120,30.853209920493647,80,2,0,0,3,1,3,1,1
110,31.244992789617044,70,1,0,0,1,1,1,0,1
125,32.049981743681286,65,1,0,0,1,1,2,1,1
130,30.11940191473341,80,1,0,0,1,1,1,0,1
170,22.265624999999996,110,2,0,0,1,1,1,1,1
120,25.925925925925924,80,2,0,0,1,0,1,0,1
120,35.15624999999999,80,1,0,0,1,1,1,1,1
110,25.05930702662969,70,2,0,0,1,1,1,0,0
100,25.88757396449704,70,1,0,0,1,1,1,0,1
120,29.17488494411571,80,1,0,0,2,1,2,1,1
120,25.43268595587264,80,2,1,0,1,1,1,1,1
140,24.221453287197235,90,1,0,0,1,1,1,1,1
110,23.66524436157625,70,1,0,0,1,1,1,0,0
140,23.87511478420569,90,1,0,0,1,1,1,1,1
130,20.07774787474903,80,2,1,0,3,1,1,0,1
120,22.837370242214536,80,1,0,0,1,0,1,0,1
160,28.999307479224377,90,1,0,0,1,0,1,1,1
120,23.889462809917354,80,1,0,0,1,1,1,1,1
160,33.22653376053162,100,1,0,0,1,1,1,1,1
130,20.65754000210077,80,2,0,0,1,0,1,1,1
120,22.49134948096886,80,2,0,0,1,1,1,0,1
150,31.231409875074355,89,2,0,0,2,1,2,0,1
110,22.265624999999996,80,2,0,0,2,1,1,0,1
140,29.72651605231867,80,2,1,1,1,0,1,1,1
120,25.847768218818715,80,1,0,0,1,1,1,1,1
120,21.35930624973301,80,1,0,0,1,1,1,0,1
130,24.22022684310019,80,2,0,0,1,1,1,0,1
120,24.654832347140037,80,1,0,0,1,1,1,0,1
120,20.761245674740486,80,1,0,0,1,1,1,0,1
120,22.031725684986377,90,1,0,0,1,1,1,0,1
140,20.202020202020197,80,1,0,0,1,1,1,1,1
140,25.55932915514163,90,2,0,0,1,1,1,1,1
110,20.307412205454995,80,2,0,0,1,1,1,1,1
120,28.721121070571897,80,2,0,0,1,0,1,1,1
120,24.67105263157895,80,1,0,0,1,1,1,0,1
130,35.15624999999999,90,1,0,1,1,1,1,0,1
130,25.03991871098853,90,2,0,0,2,1,1,1,1
120,26.026174895895295,70,1,0,0,1,1,1,0,1
110,27.053802773967377,80,1,0,0,1,0,1,0,1
120,29.402273297715947,80,2,0,0,3,0,3,1,0
120,26.171874999999996,60,1,0,0,1,1,1,1,1
120,27.660095935016283,80,2,1,0,2,1,2,0,1
120,25.510204081632658,80,2,0,0,1,0,1,1,1
140,28.685144680698485,80,1,0,0,1,1,1,1,1
140,21.9671201814059,90,1,0,0,1,1,1,1,1
130,28.875440053795337,100,1,0,0,3,1,1,1,1
130,30.461118308182492,80,2,0,0,2,0,1,0,1
120,27.993022029291247,80,1,0,1,1,1,1,1,0
110,28.25096980941137,70,1,0,0,1,1,1,1,1
120,32.098765432098766,85,2,0,0,2,1,2,0,1
110,24.24242424242424,70,1,0,0,1,0,1,0,0
120,28.841531805800347,80,1,0,0,1,1,1,0,1
120,31.184587124610193,80,1,0,0,2,1,1,0,1
110,23.938989774631512,70,2,1,0,1,1,1,0,1
