X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y,A
0.0,3.1,68,-1.79,30.0,625.78946,4,0.0,2,0.0,0,1
1.88,3.5,69,1.33,44.0,886.842082,5,0.0,4,0.0,1,1
-0.57,3.5,69,-0.11,29.0,649.999987,4,0.0,2,0.0,1,1
0.95,3.0,58,1.22,35.0,694.736825,5,0.0,3,1.0,0,1
0.0,2.9,51,0.88,39.0,747.894717,4,0.0,2,1.0,0,1
0.37,3.4,68,0.63,37.0,766.315771,3,1.0,4,0.0,1,1
0.34,3.3,67,0.67,43.0,851.052609,4,0.0,4,0.0,1,1
0.92,2.6,65,1.23,37.0,686.315771,4,1.0,2,0.0,0,1
-1.3,3.3,64,-0.67,41.0,819.473663,4,0.0,5,0.0,1,1
-2.01,0.0,65,0.0,37.0,0.0,4,1.0,6,0.0,0,0
-1.34,2.2,66,-1.73,24.5,448.9473585,4,1.0,3,0.0,1,1
-0.38,3.3,68,-0.32,34.0,708.9473519999998,4,0.0,3,0.0,1,1
-0.72,3.2,64,-0.92,35.0,714.736825,4,1.0,2,0.0,0,1
-0.03,2.4,56,-0.05,40.0,713.6841900000002,3,0.0,4,0.0,1,1
0.0,2.9,68,-1.1,31.0,621.578933,4,0.0,2,0.0,0,1
0.0,3.6,69,0.0,37.0,786.315771,3,1.0,6,0.0,1,0
0.94,2.9,62,0.73,35.0,684.736825,3,0.0,4,0.0,1,1
0.0,3.1,54,-1.82,17.0,420.526311,2,1.0,4,0.0,0,0
0.0,3.3,67,0.0,33.0,693.157879,4,0.0,6,0.0,1,1
0.0,3.3,69,0.0,35.0,724.736825,4,1.0,4,0.0,0,1
-1.49,2.4,53,-0.59,28.0,524.210514,3,0.0,3,0.0,1,1
0.0,2.5,60,-3.22,26.0,502.631568,3,1.0,1,0.0,0,0
-0.56,3.2,69,-0.76,32.5,675.2631425,4,0.0,5,0.0,1,1
1.09,2.4,66,1.04,32.5,595.2631425,3,1.0,1,0.0,1,1
0.87,2.8,64,0.56,23.0,485.263149,3,0.0,1,0.0,1,0
-0.72,2.8,69,-0.23,37.0,706.315771,3,0.0,3,0.0,1,1
0.88,3.9,64,1.08,41.0,879.4736630000001,3,0.0,6,0.0,1,1
-0.45,2.8,65,-0.69,40.0,753.6841900000002,4,0.0,6,0.0,1,0
0.53,3.3,68,0.58,30.0,645.78946,4,0.0,3,0.0,1,1
0.4,3.7,70,0.67,40.0,843.6841900000002,4,1.0,4,0.0,1,1
-1.13,2.7,68,-1.8,22.0,459.473676,4,1.0,3,0.0,1,1
0.98,3.7,69,1.94,48.0,969.999974,4,0.0,5,0.0,1,1
-1.05,2.9,68,-0.53,36.0,700.526298,4,0.0,3,0.0,1,1
-0.9,3.1,68,-0.67,36.0,720.526298,3,0.0,4,0.0,1,0
0.0,2.1,63,-2.84,20.0,367.89473,2,1.0,3,0.0,0,0
-1.12,3.5,65,-0.64,36.0,760.526298,1,1.0,3,0.0,1,1
-0.1,3.0,68,0.64,45.0,852.631555,3,1.0,4,0.0,1,1
3.22,2.6,62,2.4,35.0,654.736825,3,1.0,1,0.0,1,1
0.41,0.0,60,1.13,27.0,0.0,0,1.0,4,0.0,1,0
0.0,3.3,52,-0.15,39.0,787.894717,4,1.0,3,0.0,0,1
0.0,4.0,68,0.0,47.0,984.210501,4,0.0,6,0.0,1,0
-1.63,3.4,67,-0.6,36.0,750.526298,2,1.0,5,0.0,1,1
0.0,3.7,69,0.0,48.0,969.999974,4,0.0,6,0.0,1,0
0.87,3.8,69,1.27,46.0,948.421028,4,0.0,4,0.0,1,1
0.73,3.1,59,1.02,39.0,767.894717,3,1.0,5,1.0,1,1
