x,y,z
227.02361015341867,352.04944287202534,a
210.72448549253917,323.72522931246056,a
226.22524030485633,402.5245268633946,a
180.93173241080754,371.47907079724894,a
211.9006697607667,363.78667727007604,a
189.36181959169326,335.5645863125582,a
192.60868557992097,358.40382160572426,a
240.7869584266468,356.0777716655721,a
141.09198755595193,340.4847128077807,a
242.62163448268439,334.56473250858744,a
215.2022100875659,344.7976022938619,a
220.022775995281,333.9723099499555,a
247.38392978986258,311.000781212821,a
235.46009769151544,356.75715459352784,a
190.14119126810144,290.0233602309513,a
206.91568441503512,316.1882714939402,a
199.1663385370073,336.4521800165809,a
216.11889597587793,314.8371620062735,a
230.90805485388893,342.22307004873153,a
199.49669958126944,285.67849284093154,a
202.28825439997055,290.0253269732292,a
172.55884012639032,320.49581141682995,a
204.05392703986774,298.9132474544759,a
239.74840449436428,332.7315562771259,a
242.93660024667503,336.53407948565535,a
233.5080415769587,332.3330698324435,a
149.22939761877734,322.8715231581729,a
205.6145319760998,337.1239959820729,a
205.1398882913235,353.00443455021104,a
196.42395563085958,356.8341906685075,a
204.400105031442,343.83075178240017,a
259.012184254473,343.82017743330823,a
185.74451822215562,354.12044691323,a
185.01018853023425,324.55769673269504,a
223.8138756065097,326.65096299482474,a
190.65057252021376,313.7586319824346,a
231.51050244099247,386.6113179488185,a
202.80652917179037,348.34540734177347,a
235.77076415308642,328.9063126263889,a
213.31237843177254,352.36149281182156,a
191.2374988062358,361.6302051178321,a
209.05873646849858,368.86336518954636,a
219.1978196858447,357.1983843424881,a
190.23081303054443,413.9267495364787,a
218.54135036700828,392.28402930006814,a
191.67765147823158,310.1727878752322,a
187.21434379437514,327.9168457099497,a
243.02107093117579,357.4943031922911,a
231.12476412208304,362.8424039833146,a
198.08788722607747,335.1580572355871,a
192.5916055534721,364.88575881743725,a
182.01238477646933,371.3790393128934,a
236.21502471575985,357.75988103126315,a
192.54672746623172,371.65317962692075,a
202.45864894350996,367.3734696991173,a
216.6802431873045,344.31340978153924,a
176.87513252267019,374.244059923714,a
209.0028268209672,377.7309454515818,a
218.34850416654868,368.5578255346655,a
208.15966630790834,375.41732002529886,a
230.0833638310229,327.65266280776524,a
237.827815220478,371.8612716470944,a
228.5137301366672,315.17813365084544,a
218.91539858780257,327.9934479890587,a
207.30044363499383,363.00488878489244,a
210.96249519152906,313.7536544574778,a
169.40756787902302,349.6060070037686,a
202.4678388719906,321.63364543518423,a
223.87613067903817,331.2842833361772,a
178.08308013257724,342.51521782010343,a
220.3242280508628,344.2681337438138,a
167.76401855532112,349.135618271013,a
186.4887810370225,335.3342053776048,a
225.6409328216619,377.24253883933324,a
204.17720977615932,341.55141757746753,a
166.2654001954877,335.5589289760565,a
165.2181063996213,378.26852639702844,a
182.1130465424012,378.4920428440887,a
216.61154309524449,332.4298307140267,a
138.09835580541983,322.9390215883213,a
126.82873501791418,313.59802383781266,a
129.94924554286783,388.1123549914991,a
139.19619644081288,346.340707072186,a
135.6428232347378,341.875436060697,a
127.47431510938473,336.6534040885625,a
148.9125750815102,349.5805335295456,a
133.5462032200828,336.75877834743835,a
126.4170012662942,312.63410294102243,a
135.50958536825163,342.8371614877574,a
104.44889381020671,341.9926068421943,a
90.47601350929054,329.33419700643,a
108.55286195126848,307.6007749955718,a
127.6228070727919,319.6732394685648,a
102.28869820601888,291.6200707565638,a
145.48538425324074,312.7769846824862,a
119.81110247189879,374.14225621057835,a
150.27551442207053,315.9390453808677,a
168.8275983243831,321.63990803919313,a
149.53553358408482,280.90834708171934,a
122.13865510297605,274.16109328074157,a
159.50013808244384,320.781776993496,a
184.52661934670104,275.0392243874585,a
150.25638534057444,269.6463719393933,a
131.07144423620164,245.972490467049,a
166.67515054687243,248.66432139812022,a
162.0929985845909,273.13436799807613,a
138.85300653003208,257.94553168729414,a
216.17911674339774,296.1170039703967,a
194.20655374610507,290.8439406932049,a
161.12735021155396,320.2124268575961,a
181.82414071249093,382.5051989110154,a
203.59505717005783,365.298531234523,a
217.15030456200896,327.402139940873,a
217.1098316456799,370.5931613982831,a
205.70553363204212,322.7630375888944,a
203.76860552037195,385.48833155499153,a
219.44188170327442,351.03043233677425,a
